date,precipitation,temp_max,temp_min,wind,weather,temperature,temperature.1,temperature.2,temperature.3,temperature.4,temperature.5,temperature.6,temperature.7,temperature.8,temperature.9,temperature.10,temperature.11,temperature.12,temperature.13,temperature.14,temperature
2012-01-01,0.0,12.8,5.0,4.7,drizzle,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
2012-01-02,10.9,10.6,2.8,4.5,rain,7.800000000000001,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999
2012-01-03,0.8,11.7,7.2,2.3,rain,10.0,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45
2012-01-04,20.3,12.2,5.6,4.7,rain,9.2,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999
2012-01-05,1.3,8.9,2.8,6.1,rain,7.800000000000001,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
2012-01-06,2.5,4.4,2.2,2.2,rain,7.5,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003
2012-01-07,0.0,7.2,2.8,2.3,rain,7.800000000000001,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2012-01-08,0.0,10.0,2.8,2.0,sun,7.800000000000001,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
2012-01-09,4.3,9.4,5.0,3.4,rain,8.9,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
2012-01-10,1.0,6.1,0.6,3.4,rain,6.7,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.3499999999999996
2012-01-11,0.0,6.1,-1.1,5.1,sun,5.8500000000000005,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2012-01-12,0.0,6.1,-1.7,1.9,sun,5.550000000000001,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1999999999999997
2012-01-13,0.0,5.0,-2.8,1.3,sun,5.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
2012-01-14,4.1,4.4,0.6,5.3,snow,6.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2012-01-15,5.3,1.1,-3.3,3.2,snow,4.75,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.0999999999999999
